lat,long,date,temp
"""25.7937091"," 55.9943962""",2023-09-04,40.2
"""25.7937091"," 55.9943962""",2023-09-05,40.5
"""25.7937091"," 55.9943962""",2023-09-06,41.8
"""25.7937091"," 55.9943962""",2023-09-07,40.7
"""25.7937091"," 55.9943962""",2023-09-08,41.3
"""25.7937091"," 55.9943962""",2023-09-09,40.3
"""25.7937091"," 55.9943962""",2023-09-10,40.8
"""25.7937091"," 55.9943962""",2023-09-11,42.9
"""25.7937091"," 55.9943962""",2023-09-12,42.8
"""25.7937091"," 55.9943962""",2023-09-13,41.9
"""25.7937091"," 55.9943962""",2023-09-14,39.6
"""25.7937091"," 55.9943962""",2023-09-15,40.8
"""25.7937091"," 55.9943962""",2023-09-16,38.6
"""25.7937091"," 55.9943962""",2023-09-17,38.9
"""25.7937091"," 55.9943962""",2023-09-18,40.9
"""25.7937091"," 55.9943962""",2023-09-19,41.6
"""25.7937091"," 55.9943962""",2023-09-20,40.6
"""25.7937091"," 55.9943962""",2023-09-21,41.1
"""25.7937091"," 55.9943962""",2023-09-22,41
"""25.7937091"," 55.9943962""",2023-09-23,43.9
"""25.7937091"," 55.9943962""",2023-09-24,42.6
"""25.7937091"," 55.9943962""",2023-09-25,42.4
"""25.7937091"," 55.9943962""",2023-09-26,41.9
"""25.7937091"," 55.9943962""",2023-09-27,40.9
"""25.7937091"," 55.9943962""",2023-09-28,40.8
"""25.7937091"," 55.9943962""",2023-09-29,36.8
"""25.7937091"," 55.9943962""",2023-09-30,38.2
"""25.7937091"," 55.9943962""",2023-10-01,37.6
"""25.7937091"," 55.9943962""",2023-10-02,38
"""25.7937091"," 55.9943962""",2023-10-03,39.5
"""25.7937091"," 55.9943962""",2023-10-04,38.6
"""25.7937091"," 55.9943962""",2023-10-05,39.5
"""25.7937091"," 55.9943962""",2023-10-06,39.7
"""25.7937091"," 55.9943962""",2023-10-07,41.2
"""25.7937091"," 55.9943962""",2023-10-08,41.6
"""25.7937091"," 55.9943962""",2023-10-09,39.4
"""25.7937091"," 55.9943962""",2023-10-10,37.8
"""25.7937091"," 55.9943962""",2023-10-11,38.3
"""25.7937091"," 55.9943962""",2023-10-12,40.7
"""25.7937091"," 55.9943962""",2023-10-13,39.3
"""25.7937091"," 55.9943962""",2023-10-14,38.7
"""25.7937091"," 55.9943962""",2023-10-15,36.9
"""25.7937091"," 55.9943962""",2023-10-16,37.4
"""25.7937091"," 55.9943962""",2023-10-17,37.5
"""25.8572399"," 39.43571031610098""",2023-07-19,40.9
"""25.8572399"," 39.43571031610098""",2023-07-20,39.8
"""25.8572399"," 39.43571031610098""",2023-07-21,40.3
"""25.8572399"," 39.43571031610098""",2023-07-22,42.3
"""25.8572399"," 39.43571031610098""",2023-07-23,43.3
"""25.8572399"," 39.43571031610098""",2023-07-24,40.3
"""25.8572399"," 39.43571031610098""",2023-07-25,39.7
"""25.8572399"," 39.43571031610098""",2023-07-26,40.3
"""25.8572399"," 39.43571031610098""",2023-07-27,41
"""25.8572399"," 39.43571031610098""",2023-07-28,41.1
"""25.8572399"," 39.43571031610098""",2023-07-29,42.1
"""25.8572399"," 39.43571031610098""",2023-07-30,42.9
"""25.8572399"," 39.43571031610098""",2023-07-31,38.9
"""25.8572399"," 39.43571031610098""",2023-08-01,38.8
"""25.8572399"," 39.43571031610098""",2023-08-02,39.9
"""25.8572399"," 39.43571031610098""",2023-08-03,40.5
"""25.8572399"," 39.43571031610098""",2023-08-04,39.9
"""25.8572399"," 39.43571031610098""",2023-08-05,39.7
"""25.8572399"," 39.43571031610098""",2023-08-06,39.4
"""25.8572399"," 39.43571031610098""",2023-08-07,40.4
"""25.8572399"," 39.43571031610098""",2023-08-08,41
"""25.8572399"," 39.43571031610098""",2023-08-09,42.3
"""25.8572399"," 39.43571031610098""",2023-08-10,41
"""25.8572399"," 39.43571031610098""",2023-08-11,43.1
"""25.8572399"," 39.43571031610098""",2023-08-12,41.3
"""25.8572399"," 39.43571031610098""",2023-08-13,43.5
"""25.8572399"," 39.43571031610098""",2023-08-14,43.8
"""25.8572399"," 39.43571031610098""",2023-08-15,44.2
"""25.8572399"," 39.43571031610098""",2023-08-16,43.9
"""25.8572399"," 39.43571031610098""",2023-08-17,43.9
"""25.8572399"," 39.43571031610098""",2023-08-18,43.7
"""25.8572399"," 39.43571031610098""",2023-08-19,43.9
"""25.8572399"," 39.43571031610098""",2023-08-20,43.6
"""25.8572399"," 39.43571031610098""",2023-08-21,43.4
